[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 13431, RPM: 2167.7568, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 3924, RPM: 1719.6768, Teeth: 20
[NAIL] id: 0, steps per second: 9458, RPM: 2170.7520, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 605, RPM: 692.0640, Teeth: 20
[NAIL] id: 0, steps per second: 12804, RPM: 2167.1616, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 13409, RPM: 2172.7584, Teeth: 20
[NAIL] id: 0, steps per second: 12, RPM: 52.2612, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.0000, Teeth: 20
