Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 17191, RPM: 258.0911
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 17827, RPM: 289.2195
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 19478, RPM: 294.4198
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 19611, RPM: 294.4198
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 19606, RPM: 294.4198
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 19782, RPM: 308.4642
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 20634, RPM: 311.3573
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 20943, RPM: 327.0863
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 21916, RPM: 329.3935
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 22387, RPM: 338.6404
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 22895, RPM: 343.8407
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 23012, RPM: 346.1479
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 22916, RPM: 262.0462
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 4844, RPM: 13.9712
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 5305, RPM: 113.5821
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 10424, RPM: 167.9652
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 11905, RPM: 186.0563
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 12755, RPM: 199.1485
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 13452, RPM: 203.7812
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 15055, RPM: 240.3845
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 17940, RPM: 283.0854
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 19940, RPM: 323.2227
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
id: 0, steps per second: 23978, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 0, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
Go 0 SpeedFac:0.022873 DistDiff:0.000000 
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
id: 0, steps per second: 8937, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
Go 0 SpeedFac:0.082200 DistDiff:0.000000 
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
Go 0 SpeedFac:0.027741 DistDiff:0.000000 
id: 0, steps per second: 8755, RPM: 144.6555
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
Go 0 SpeedFac:0.036164 DistDiff:0.000000 
id: 0, steps per second: 7842, RPM: 77.1252
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
Go 0 SpeedFac:0.017014 DistDiff:0.000000 
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
id: 0, steps per second: 5213, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 0, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
id: 3, steps per second: 0, RPM: 0.0000
id: 0, steps per second: 0, RPM: 0.0000
id: 1, steps per second: 0, RPM: 0.0000
id: 2, steps per second: 0, RPM: 0.0000
