[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 13431, RPM: 2168.15, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 13354, RPM: 2176.11, Teeth: 20
[NAIL] id: 0, steps per second: 64, RPM: 144.07, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
