[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 2169.7632
[NAIL] id: 0, steps per second: 0, RPM: 1088.0448
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 2169.4368
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
