[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: -874.7808
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 376.1088
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: -1048.3488
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
