Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
3 SF: 0.097294 
0 SF: 0.098620 
1 SF: 0.098764 
2 SF: 0.098886 
3 SF: 0.099024 
0 SF: 0.100348 
1 SF: 0.100494 
2 SF: 0.100612 
3 SF: 0.100750 
0 SF: 0.102068 
1 SF: 0.102210 
2 SF: 0.102336 
3 SF: 0.102464 
0 SF: 0.103800 
1 SF: 0.103918 
2 SF: 0.104052 
3 SF: 0.104166 
0 SF: 0.105498 
1 SF: 0.105640 
2 SF: 0.105760 
3 SF: 0.105890 
0 SF: 0.107204 
1 SF: 0.107330 
2 SF: 0.107462 
3 SF: 0.107576 
0 SF: 0.108904 
1 SF: 0.109036 
2 SF: 0.109156 
3 SF: 0.109286 
0 SF: 0.110618 
1 SF: 0.110752 
2 SF: 0.110886 
3 SF: 0.111000 
0 SF: 0.112324 
1 SF: 0.112476 
2 SF: 0.112612 
3 SF: 0.112742 
0 SF: 0.114034 
1 SF: 0.114180 
2 SF: 0.114298 
3 SF: 0.114436 
0 SF: 0.115746 
1 SF: 0.115894 
2 SF: 0.116020 
3 SF: 0.116152 
0 SF: 0.117458 
1 SF: 0.117606 
2 SF: 0.117738 
3 SF: 0.117866 
0 SF: 0.119176 
1 SF: 0.119320 
2 SF: 0.119450 
3 SF: 0.119582 
0 SF: 0.120892 
1 SF: 0.121030 
2 SF: 0.121154 
3 SF: 0.121280 
0 SF: 0.122614 
1 SF: 0.122760 
2 SF: 0.122908 
3 SF: 0.123036 
0 SF: 0.124332 
1 SF: 0.124474 
2 SF: 0.124608 
3 SF: 0.124736 
0 SF: 0.126036 
1 SF: 0.126170 
2 SF: 0.126316 
3 SF: 0.126448 
0 SF: 0.127744 
1 SF: 0.127884 
2 SF: 0.128020 
3 SF: 0.128150 
0 SF: 0.129446 
1 SF: 0.129582 
2 SF: 0.129722 
3 SF: 0.129862 
0 SF: 0.131152 
1 SF: 0.131298 
2 SF: 0.131436 
3 SF: 0.131570 
0 SF: 0.132866 
1 SF: 0.133010 
2 SF: 0.133144 
3 SF: 0.133276 
0 SF: 0.134576 
1 SF: 0.134718 
2 SF: 0.134860 
3 SF: 0.135000 
0 SF: 0.136298 
1 SF: 0.136442 
2 SF: 0.136580 
3 SF: 0.136712 
0 SF: 0.138060 
1 SF: 0.138206 
2 SF: 0.138346 
3 SF: 0.138478 
0 SF: 0.139842 
1 SF: 0.139984 
2 SF: 0.140122 
3 SF: 0.140256 
0 SF: 0.141618 
1 SF: 0.141768 
2 SF: 0.141912 
3 SF: 0.142044 
0 SF: 0.143390 
1 SF: 0.143530 
2 SF: 0.143670 
3 SF: 0.143806 
0 SF: 0.145160 
1 SF: 0.145300 
2 SF: 0.145442 
3 SF: 0.145580 
0 SF: 0.146930 
1 SF: 0.147072 
2 SF: 0.147212 
3 SF: 0.147344 
0 SF: 0.148712 
1 SF: 0.148858 
2 SF: 0.148996 
3 SF: 0.149136 
0 SF: 0.150486 
1 SF: 0.150624 
2 SF: 0.150768 
3 SF: 0.150904 
0 SF: 0.152254 
1 SF: 0.152400 
2 SF: 0.152548 
3 SF: 0.152684 
0 SF: 0.154018 
1 SF: 0.154160 
2 SF: 0.154298 
3 SF: 0.154438 
0 SF: 0.155786 
1 SF: 0.155924 
2 SF: 0.156064 
3 SF: 0.156198 
0 SF: 0.157568 
1 SF: 0.157712 
2 SF: 0.157854 
3 SF: 0.157990 
0 SF: 0.159336 
1 SF: 0.159476 
2 SF: 0.159614 
3 SF: 0.159758 
0 SF: 0.161106 
1 SF: 0.161246 
2 SF: 0.161388 
3 SF: 0.161522 
0 SF: 0.162878 
1 SF: 0.163028 
2 SF: 0.163170 
3 SF: 0.163308 
0 SF: 0.164646 
1 SF: 0.164790 
2 SF: 0.164934 
3 SF: 0.165076 
0 SF: 0.166416 
1 SF: 0.166560 
2 SF: 0.166702 
3 SF: 0.166838 
0 SF: 0.168180 
1 SF: 0.168324 
2 SF: 0.168470 
3 SF: 0.168608 
0 SF: 0.169950 
1 SF: 0.170094 
2 SF: 0.170234 
3 SF: 0.170370 
0 SF: 0.171734 
1 SF: 0.171876 
2 SF: 0.172030 
3 SF: 0.172166 
0 SF: 0.173510 
1 SF: 0.173652 
2 SF: 0.173794 
3 SF: 0.173934 
0 SF: 0.175278 
1 SF: 0.175420 
2 SF: 0.175562 
3 SF: 0.175702 
0 SF: 0.177066 
1 SF: 0.177210 
2 SF: 0.177352 
3 SF: 0.177492 
0 SF: 0.178860 
1 SF: 0.178998 
2 SF: 0.179146 
3 SF: 0.179280 
0 SF: 0.180666 
1 SF: 0.180810 
2 SF: 0.180946 
3 SF: 0.181084 
0 SF: 0.182458 
1 SF: 0.182606 
2 SF: 0.182766 
3 SF: 0.182902 
0 SF: 0.184262 
1 SF: 0.184410 
2 SF: 0.184556 
3 SF: 0.184700 
0 SF: 0.186058 
1 SF: 0.186204 
2 SF: 0.186350 
3 SF: 0.186494 
0 SF: 0.187848 
1 SF: 0.187996 
2 SF: 0.188140 
3 SF: 0.188278 
0 SF: 0.189642 
1 SF: 0.189792 
2 SF: 0.189942 
3 SF: 0.190084 
0 SF: 0.191432 
1 SF: 0.191578 
2 SF: 0.191724 
3 SF: 0.191870 
0 SF: 0.193230 
1 SF: 0.193370 
2 SF: 0.193518 
3 SF: 0.193668 
0 SF: 0.195026 
1 SF: 0.195168 
2 SF: 0.195306 
3 SF: 0.195456 
0 SF: 0.196822 
1 SF: 0.196962 
2 SF: 0.197102 
3 SF: 0.197244 
0 SF: 0.198610 
1 SF: 0.198756 
2 SF: 0.198896 
3 SF: 0.199034 
0 SF: 0.200400 
1 SF: 0.200550 
2 SF: 0.200692 
3 SF: 0.200824 
0 SF: 0.202188 
1 SF: 0.202356 
2 SF: 0.202506 
3 SF: 0.202638 
0 SF: 0.203976 
1 SF: 0.204118 
2 SF: 0.204254 
3 SF: 0.204386 
0 SF: 0.205768 
1 SF: 0.205902 
2 SF: 0.206054 
3 SF: 0.206184 
0 SF: 0.207558 
1 SF: 0.207696 
2 SF: 0.207830 
3 SF: 0.207964 
0 SF: 0.209356 
1 SF: 0.209492 
2 SF: 0.209642 
3 SF: 0.209780 
0 SF: 0.211154 
1 SF: 0.211290 
2 SF: 0.211426 
3 SF: 0.211558 
0 SF: 0.212916 
1 SF: 0.213068 
2 SF: 0.213234 
3 SF: 0.213368 
0 SF: 0.214680 
1 SF: 0.214822 
2 SF: 0.214972 
3 SF: 0.215112 
0 SF: 0.216466 
1 SF: 0.216606 
2 SF: 0.216756 
3 SF: 0.216898 
0 SF: 0.218250 
1 SF: 0.218390 
2 SF: 0.218538 
3 SF: 0.218684 
0 SF: 0.220016 
1 SF: 0.220158 
2 SF: 0.220294 
3 SF: 0.220450 
0 SF: 0.221798 
1 SF: 0.221944 
2 SF: 0.222084 
3 SF: 0.222244 
0 SF: 0.223572 
1 SF: 0.223724 
2 SF: 0.223882 
3 SF: 0.224022 
0 SF: 0.225360 
1 SF: 0.225516 
2 SF: 0.225658 
3 SF: 0.225814 
0 SF: 0.227132 
1 SF: 0.227276 
2 SF: 0.227436 
3 SF: 0.227580 
0 SF: 0.228900 
1 SF: 0.229056 
2 SF: 0.229200 
3 SF: 0.229352 
0 SF: 0.230670 
1 SF: 0.230818 
2 SF: 0.230976 
3 SF: 0.231116 
0 SF: 0.232456 
1 SF: 0.232622 
2 SF: 0.232780 
3 SF: 0.232928 
0 SF: 0.234242 
1 SF: 0.234392 
2 SF: 0.234550 
3 SF: 0.234696 
0 SF: 0.236022 
1 SF: 0.236172 
2 SF: 0.236326 
3 SF: 0.236468 
0 SF: 0.237790 
1 SF: 0.237940 
2 SF: 0.238096 
3 SF: 0.238244 
0 SF: 0.239562 
1 SF: 0.239718 
2 SF: 0.239870 
3 SF: 0.240020 
0 SF: 0.241336 
1 SF: 0.241488 
2 SF: 0.241638 
3 SF: 0.241792 
0 SF: 0.243100 
1 SF: 0.243266 
2 SF: 0.243416 
3 SF: 0.243580 
0 SF: 0.244958 
1 SF: 0.245120 
2 SF: 0.245282 
3 SF: 0.245426 
0 SF: 0.246832 
1 SF: 0.246984 
2 SF: 0.247140 
3 SF: 0.247284 
0 SF: 0.248706 
1 SF: 0.248866 
2 SF: 0.249016 
3 SF: 0.249172 
0 SF: 0.250568 
1 SF: 0.250726 
2 SF: 0.250880 
3 SF: 0.251026 
0 SF: 0.252430 
1 SF: 0.252584 
2 SF: 0.252750 
3 SF: 0.252908 
0 SF: 0.254310 
1 SF: 0.254458 
2 SF: 0.254618 
3 SF: 0.254762 
0 SF: 0.256188 
1 SF: 0.256334 
2 SF: 0.256494 
3 SF: 0.256638 
0 SF: 0.258048 
1 SF: 0.258192 
2 SF: 0.258342 
3 SF: 0.258488 
0 SF: 0.259932 
1 SF: 0.260078 
2 SF: 0.260226 
3 SF: 0.260378 
0 SF: 0.261808 
1 SF: 0.261954 
2 SF: 0.262114 
3 SF: 0.262256 
0 SF: 0.263672 
1 SF: 0.263844 
2 SF: 0.264000 
3 SF: 0.264150 
0 SF: 0.265542 
1 SF: 0.265706 
2 SF: 0.265864 
3 SF: 0.266020 
0 SF: 0.267408 
1 SF: 0.267568 
2 SF: 0.267732 
3 SF: 0.267878 
0 SF: 0.269274 
1 SF: 0.269434 
2 SF: 0.269596 
3 SF: 0.269750 
0 SF: 0.271140 
1 SF: 0.271304 
2 SF: 0.271464 
