[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, ste[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
[NAIL] id: 0, steps per second: 0, RPM: 0.0000
[NAIL] id: 1, steps per second: 0, RPM: 0.0000
[NAIL] id: 2, steps per second: 0, RPM: 0.0000
[NAIL] id: 3, steps per second: 0, RPM: 0.0000
