[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
[NAIL] id: 0, steps per second: 0, RPM: 0.00, Teeth: 20
